codigo,village,pr2021,pr2010,delta_pr,ro2021,ro2010,delta_ro,soil2021,soil2010,delta_soil,tmmx2021,tmmx2010,delta_tmax,tmmn2021,tmmn2010,delta_tmin,ETP_2021,ETP_2010,delta_ETP,humidity_2021,humidity_2010,delta_humidity,pop2020,pop2010,delta_pop,def_2021,def_2010,delta_def,GHS_2010_mean,GHS_2020_mean,delta_GHS,ln_2021,ln_2014,delta_ln,lat,lon,PC1,PC2,PC3,index,quartile,class
1601130005,NINA RUMI,3006.0720939,1708.4925676,75.94879550004545,1975.999455,775.4281043,154.82690710363,480.6200872,415.7574125,15.601086775572526,378.236369,378.5011347,-0.0699510980884777,262.2708106,262.5355763,-0.10084945580763872,31.623332016666662,30.869878316666668,2.4407407514567616,0.2185641,0.2178143,0.34423818821813934,0.8219515,0.6272721,31.035877412689,0.8386991,0.7689865,9.065516754845502,34.60997847283779,45.77827022920096,24.39649139,1.3249509,0.8608395,53.913813202112586,-3.8447595399999273,-73.38588096899997,-4.83467550039385,-0.3385444267830916,-0.24407649607672308,-5.4172964232536645,1,bajo
1601130070,UNION PROGRESO,3004.7093196,1711.9085867,75.51809383654634,1974.6008715,777.9957413,153.80612857861158,485.8812172,419.2018471,15.906268200219476,377.3746063,377.763504,-0.10294739853959782,262.1727444,262.5616421,-0.14811672294914122,30.941474475,31.27390025,-1.0629495276976233,0.2184848,0.2178044,0.31239038329804064,2.7881847,1.5185936,83.60308511770364,0.852955,0.8757627,-2.604324207916138,90.30311471258548,116.7337300582426,22.64179799,2.5993518,1.5723015,65.3214602924439,-3.8568092579999416,-73.33871701599998,-6.6619159859959955,-2.4212525341748474,0.19978662768719815,-8.883381892483646,1,bajo
1601130030,PAUJIL II ZONA,2975.6485014,1687.3773099,76.34754740042982,1947.7634382,754.212435,158.25130265851428,496.8338023,434.8837107,14.245208563982208,377.593728,377.9842309,-0.10331195538771386,261.9097201,262.3002229,-0.14887627455385546,31.822475591666667,32.72974680833333,-2.772008051206996,0.2174959,0.2164625,0.4774037073396038,0.3364893,0.2180165,54.34120811956893,0.2303101,0.6552043,-64.84911652747091,3.103910897354765,5.121503607138337,39.39453849,0.6738418,0.3258644,106.78595145710916,-4.003309999999942,-73.46996833299994,-0.6304297570161185,2.0078533443084305,-3.161341059520751,-1.7839174722284392,1,bajo
1601130069,LOS DELFINES,3006.4907568,1713.7342023,75.4350676297989,1976.0042127,779.8814492,153.37238303680374,483.6965951,417.0129454,15.990786481709074,377.6540368,378.0342667,-0.10058080271907202,262.1821629,262.5623928,-0.1448150650766074,30.461806816666662,30.963142066666663,-1.6191355803638294,0.2184877,0.2178065,0.31275466985605144,2.7444578,1.5187699,80.70267260366434,0.8053557,1.1116538,-27.553371382349436,105.42918617896468,139.41323883052775,24.37648887,2.9088141,1.8269512,59.216847171396786,-3.8447861199999807,-73.33940006499995,-7.154452143907345,-3.1686118926338747,-0.29785998126572283,-10.620924017806942,1,bajo
1601130098,VILLA CRUZ,3007.1836452,1709.7137907,75.88813177723641,1976.469607,775.7044847,154.79672297684218,482.896535,417.3873478,15.695058210386891,377.9152559,378.2185675,-0.08019479371541671,262.1632363,262.4665479,-0.11556200301593904,31.066146608333337,30.50768928333333,1.8305461282677145,0.2185176,0.2177996,0.32966084418887653,1.9173546,1.0702678,79.14718166799,1.0503479,0.9953165,5.529035236530284,65.23421485511831,84.87586992281412,23.14162445,1.9348823,1.209281,60.00270408614704,-3.853170524999939,-73.37349268399998,-6.379237561649281,-1.4434576699273018,-0.633485076371821,-8.456180307948403,1,bajo
1601130031,13 DE FEBRERO,2972.6731398,1687.3040226,76.17886877430361,1943.9527395,752.4364906,158.35439452835064,501.1398296,437.7691866,14.475811669655776,377.6803032,378.178495,-0.1317345662396727,262.5060141,263.0042059,-0.1894235106602804,32.939257575,32.974979508333334,-0.1083304185960364,0.2177098,0.2166991,0.46640710552097503,0.5044411,0.3097244,62.867730149771845,0.4669749,0.7821411,-40.29531244426357,7.234780407543349,11.815086697886343,38.76659061,0.6885423,0.3381381,103.6275415281508,-4.014409999999941,-73.43398833299995,-0.3042120023677168,2.3218722078239953,-1.9733647378174342,0.04429546763884429,2,medio
1601130045,SAN LUCAS,2915.8870177,1672.7137055,74.32074646799143,1889.2128882,738.0970826,155.9572355367009,507.4334984,446.0314775,13.7662976712221,378.9082223,379.5133786,-0.15945585429225573,263.5167368,264.1218931,-0.22912008273805337,32.90192365,33.420855491666664,-1.552718606488266,0.2180019,0.2168192,0.5454775222858533,0.4393082,0.2793256,57.27459280495593,0.601492,1.0003505,-39.87187490784479,7.041893431211239,11.719908872294646,39.91511787,0.8430739,0.3616314,133.1307237148102,-4.10399728699997,-73.45458188499998,1.8528663358314665,0.5237332327976325,-0.892870572773678,1.483728995855421,2,medio
1601130037,EX PETROLERO I ZONA,2922.2420704,1674.42392,74.5222363044121,1895.674353,739.8514523,156.22364423383317,506.6398337,445.0676481,13.83434313027526,378.798179,379.4132763,-0.1621180223313135,263.4579989,264.0730961,-0.23292687103840856,32.951131233333335,33.38989038333333,-1.314047889833755,0.2179544,0.2167979,0.5334461265538111,0.4288356,0.2754502,55.68534711537694,0.6120694,0.9791745,-37.49128475057306,7.20754716981132,11.900341901988098,39.43411686,0.8508963,0.3669954,131.85475894248265,-4.094611473999976,-73.45324767899996,1.7121220826336856,0.7780348347599526,-0.9031677715742032,1.586989145819435,2,medio
1601130033,NUEVO HORIZONTE,2937.7040377,1678.7597721,74.99252046200493,1910.7220213,743.82378,156.87831885396295,505.2301858,443.0207332,14.042108627885776,378.4974882,379.0955512,-0.15776049022649882,263.2862026,263.8842655,-0.22663833285656895,33.046601716666665,33.22548365833333,-0.5383877733915283,0.2178455,0.2167498,0.5055137305778391,0.4721282,0.2888982,63.42372503532386,0.5553374,0.8872165,-37.40677726349769,8.651100987091876,12.896735003796508,32.92022373,0.8498376,0.3786143,124.4599847390867,-4.071663332999947,-73.44562833299995,1.1453077759206458,1.1891052868768566,-1.248570553563358,1.0858425092341444,2,medio
1601130029,24 DE JUNIO,2968.4056679,1686.4539734,76.01462682764492,1939.4468391,750.7588684,158.33152570455871,502.8766845,439.0720967,14.531688139498216,377.8154727,378.3487019,-0.14093591370135844,262.7917905,263.3250198,-0.20249853219607217,33.4804313,33.100577933333334,1.1475732158867875,0.2178774,0.216881,0.45942244825503775,0.5261234,0.3345838,57.2471231422442,0.5424229,0.7518794,-27.857725587374777,7.718477298596181,12.616795244719867,38.82378886,0.6784373,0.3241984,109.26608521201833,-4.021109999999965,-73.42367166699995,-4.289681001413345e-4,2.4526381315290915,-1.119489536988807,1.3327196264401433,2,medio
