ubigeo,village,pr_2021,pr_2010,ro_2021,ro_2010,soil_2021,soil_2010,tmmx_2021,tmmx_2010,tmmn_2021,tmmn_2010,etp_2021,etp_2010,humidity_2021,humidity_2010,pop_2020,pop_2010,def_2021,def_2010,ghs_2010_mean,ghs_2020_mean,ln_2021,ln_2014,lat,lon,malaria_2010,malaria_2019,poblacion,vivax,falciparum,malaria,dengue,lepto,pr_mean,ro_mean,soil_mean,tmmx_mean,tmmn_mean,etp_mean,humidity_mean,pop_mean,def_mean,ghs_mean,ln_mean,malaria_mean,pr_diff,ro_diff,soil_diff,tmmx_diff,tmmn_diff,etp_diff,humidity_diff,pop_diff,def_diff,ghs_diff,ln_diff,malaria_diff,hc_group_2,hc_group_3,hc_group_4,pca_score,pca_group_2,pca_group_3,pca_group_4
1601130005,NINA RUMI,3006.0720939,1708.4925676,1975.999455,775.4281043,480.6200872,415.7574125,378.236369,378.5011347,262.2708106,262.5355763,31.623332016666662,30.869878316666668,0.2185641,0.2178143,0.8219515,0.6272721,0.8386991,0.7689865,34.60997847283779,45.77827022920096,1.3249509,0.8608395,-3.8447595399999273,-73.38588096899997,29,88,672,0.1011904761904762,0,0.1011904761904762,0,0,2357.28233075,1375.71377965,448.18874985,378.36875185,262.40319345,31.246605166666665,0.2181892,0.7246117999999999,0.8038428,40.194124351019376,1.0928952,39312,1297.5795262999998,1200.5713507,64.86267470000001,-0.2647656999999981,-0.2647656999999981,0.7534536999999943,7.498000000000227e-4,0.19467939999999995,0.06971260000000001,11.168291756363177,0.4641113999999999,0.08779761904761904,1,1,2,3.9656511193243555,1,1,1
1601130097,SHUSHUNA,3008.1797185,1716.1339711,1977.4593081,782.5699346,481.3695876,414.635567,377.9247819,378.2886499,262.1743705,262.5382385,29.981328758333333,30.759866691666662,0.2184941,0.2178228,2.6231869,1.6804287,0.8336378,1.0940833,169.92111927070144,213.34033932641177,3.6344207,2.2770957,-3.8301515449999783,-73.33552295699997,0,0,98,0,0,0,0.01020408163265306,0,2362.1568448,1380.01462135,448.0025773,378.1067159,262.35630449999996,30.370597724999996,0.21815845,2.1518078,0.96386055,191.63072929855664,2.9557582,0,1292.0457474,1194.8893735,66.73402060000001,-0.3638679999999681,-0.3638679999999681,-0.7785379333333289,6.712999999999858e-4,0.9427582,-0.2604455000000001,43.419220055710326,1.3573250000000003,0,1,1,1,7.196777573925539,1,1,1
1601130026,SAN JOSE,3001.1153123,1701.5449371,1975.3038206,770.2562605,493.4020934,428.8071315,376.8933535,377.3627586,261.8044789,262.273884,31.879494508333337,31.931540125,0.2178422,0.2170491,0.57298,0.3972735,0.798444,0.463028,8.569602632245001,20.288407997975195,0.8594224,0.4879317,-3.931735723999964,-73.39156817399999,1,2,123,0.02439024390243902,0,0.02439024390243902,0.01626016260162601,0.008130081300813,2351.3301247,1372.7800405500002,461.10461245,377.12805605,262.03918145,31.905517316666668,0.21744565,0.4851267500000001,0.630736,14.429005315110098,0.67367705,184.5,1299.5703752,1205.0475601,64.59496189999999,-0.4694051000000172,-0.4694051000000172,-0.05204561666666407,7.931000000000188e-4,0.17570650000000004,0.33541600000000005,11.718805365730194,0.3714907,0.008130081300813,1,1,2,1.9278618386631774,1,1,2
1601130028,EL DORADO,2997.2832533,1698.1363299,1972.7488738,767.4091382,495.442785,431.310841,377.006861,377.4966338,261.8811197,262.3708925,31.86200953333333,32.091578416666664,0.2175948,0.2167523,0.5294893,0.3033259,0.5415549,0.584199,10.342151898734178,21.86139240506329,0.8318282,0.4926375,-3.954165474999968,-73.40641990799998,2,1,90,0.01111111111111111,0,0.01111111111111111,0,0,2347.7097916,1370.079006,463.376813,377.2517474,262.12600610000004,31.976793975,0.21717355,0.4164076,0.5628769499999999,16.101772151898736,0.66223285,135,1299.1469234,1205.3397356,64.13194400000003,-0.4897727999999688,-0.48977280000002565,-0.22956888333333225,8.42499999999996e-4,0.22616340000000007,-0.04264410000000007,11.519240506329114,0.3391907,-0.01111111111111111,1,1,2,1.370625004417891,1,1,2
1601130029,24 DE JUNIO,2968.4056679,1686.4539734,1939.4468391,750.7588684,502.8766845,439.0720967,377.8154727,378.3487019,262.7917905,263.3250198,33.4804313,33.100577933333334,0.2178774,0.216881,0.5261234,0.3345838,0.5424229,0.7518794,7.718477298596181,12.616795244719867,0.6784373,0.3241984,-4.021109999999965,-73.42367166699995,0,0,16,0,0,0,0,0,2327.42982065,1345.10285375,470.9743906,378.0820873,263.05840515,33.29050461666667,0.2173792,0.4303536,0.64715115,10.167636271658024,0.50131785,0,1281.9516945,1188.6879707,63.80458780000003,-0.5332291999999939,-0.5332293000000163,0.3798533666666657,9.964000000000084e-4,0.19153960000000003,-0.2094564999999999,4.8983179461236865,0.3542389,0,2,2,3,-0.06057089137441942,1,2,2
1601130039,EX PETROLEROS II ZONA,2938.2699396,1677.5633112,1911.8351828,743.8336966,502.1820222,441.2157386,378.3957545,378.9366987,262.7953284,263.3362727,32.546224716666664,33.26920088333333,0.2176798,0.2165636,0.424284,0.2533932,0.3256254,0.947628,7.964159067882472,11.588272543059777,0.8727249,0.3660274,-4.064826666999977,-73.47497999999996,1,0,9,0,0,0,0,0,2307.9166254,1327.8344397,471.6988804,378.6662266,263.06580055,32.9077128,0.2171217,0.3388386,0.6366267,9.776215805471123,0.61937615,4.5,1260.7066283999998,1168.0014861999998,60.9662836,-0.5409442000000126,-0.5409442999999783,-0.722976166666669,0.00111620000000001,0.1708908,-0.6220026000000001,3.624113475177305,0.5066975,-0.1111111111111111,2,2,3,-0.937992185500028,2,2,3
1601130055,12 DE ABRIL,2840.0983371,1652.6666337,1816.0749777,715.4307136,512.1244482,457.1323171,380.3977432,381.0487528,264.2902554,264.941265,32.44747713333334,33.699035308333336,0.2181032,0.2166587,0.3508206,0.2653851,0.5419636,0.7239961,3.1495764319130104,3.988746997091921,0.529578,0.2948196,-4.219298394999953,-73.48396803699995,0,0,244,0.00819672131147541,0,0.00819672131147541,0.00819672131147541,0,2246.3824854,1265.75284565,484.62838265,380.723248,264.61576019999995,33.073256220833336,0.21738095,0.30810285,0.63297985,3.5691617145024654,0.4121988,0,1187.4317034000003,1100.6442641,54.99213109999994,-0.651009600000009,-0.651009600000009,-1.2515581749999996,0.00144449999999998,0.0854355,-0.18203250000000004,0.8391705651789105,0.2347584,0,2,3,4,-4.292728488752725,2,3,4
1601130090,SAN MARTIN II ZONA,2867.9916844,1661.9568381,1844.2175419,727.9978221,513.9811068,454.8373311,379.5256348,380.0445627,264.0155076,264.5344355,32.512248066666665,33.97853811666667,0.2182162,0.2169319,0.2355068,0.2085649,0.5123834,0.4704998,0.6510508989617625,1.5834388452772854,0.7211062,0.2828817,-4.1790544739999405,-73.43787941499994,0,0,31,0,0,0,0,0,2264.97426125,1286.107682,484.40921895,379.78509875,264.27497155,33.24539309166667,0.21757405,0.22203585,0.4914416,1.117244872119524,0.50199395,0,1206.0348463,1116.2197198,59.14377570000005,-0.5189278999999942,-0.5189278999999942,-1.466290050000005,0.00128429999999998,0.02694189999999999,0.04188360000000002,0.9323879463155228,0.4382245,0,2,3,4,-3.065505040446436,2,3,4
1601130089,23 DE FEBRERO,2887.1737022,1665.8020488,1861.1594002,731.3213243,511.2567823,450.4489632,379.423764,379.9717128,263.8254813,264.37343,32.91290434166667,33.464850741666666,0.2181286,0.2168661,0.2988643,0.2376757,0.6862648,0.9260843,1.0612580685989117,2.3316035944817113,0.7782326,0.2783579,-4.149769548999927,-73.45847309199996,0,0,17,0,0,0,0,0,2276.4878755,1296.24036225,480.85287275,379.6977384,264.09945565,33.18887754166667,0.21749735,0.26827,0.8061745499999999,1.6964308315403116,0.52829525,0,1221.3716534000002,1129.8380759,60.80781910000002,-0.5479487999999719,-0.5479487000000063,-0.5519463999999985,0.00126249999999999,0.06118860000000004,-0.23981949999999996,1.2703455258827996,0.49987470000000006,0,2,3,4,-2.2140095905497312,2,3,3
