ubigeo,village,pr_2021,pr_2010,ro_2021,ro_2010,soil_2021,soil_2010,tmmx_2021,tmmx_2010,tmmn_2021,tmmn_2010,etp_2021,etp_2010,humidity_2021,humidity_2010,pop_2020,pop_2010,def_2021,def_2010,ghs_2010_mean,ghs_2020_mean,ln_2021,ln_2014,lat,lon,malaria_2010,malaria_2019,poblacion,vivax,falciparum,malaria,dengue,lepto,pr_mean,ro_mean,soil_mean,tmmx_mean,tmmn_mean,etp_mean,humidity_mean,pop_mean,def_mean,ghs_mean,ln_mean,malaria_mean,pr_diff,ro_diff,soil_diff,tmmx_diff,tmmn_diff,etp_diff,humidity_diff,pop_diff,def_diff,ghs_diff,ln_diff,malaria_diff
1601130022,PEÑA NEGRA,3003.5228286,1711.0184708,1973.7409131,777.1561355,487.1143211,420.4041497,377.2085273,377.6035159,262.171343,262.5663316,31.131048158333332,31.43682485,0.2184728,0.2177948,2.7544162,1.5144129,0.8495356,0.711237,82.72180070814365,106.30842185128984,2.3925664,1.4091731,-3.8631473619999497,-73.33677619199995,1,4,736,0.009510869565217392,0,0.009510869565217392,0.010869565217391304,0.004076086956521739,2357.2706497,1375.4485243,453.75923539999997,377.40602160000003,262.3688373,31.283936504166668,0.2181338,2.13441455,0.7803863,94.51511127971673,1.90086975,1840,1292.5043578000002,1196.5847776,66.71017139999998,-0.3949885999999765,-0.39498860000003333,-0.30577669166666865,6.779999999999842e-4,1.2400033000000001,0.13829859999999994,23.58662114314619,0.9833933000000001,0.004076086956521739
1601130004,PUERTO ALMENDRAS,3005.5606713,1709.9999505,1975.6000297,776.5313629,478.9061934,413.7691222,378.4208575,378.7052181,262.3170652,262.6014258,31.15949129166667,30.75508555,0.2185268,0.2178004,1.1825184,0.6682649,0.6464356,1.0140521,55.79177215189873,71.12518987341772,1.6253562,1.1789836,-3.831724965999967,-73.37801906399994,18,35,201,0.10945273631840796,0,0.10945273631840796,0,0,2357.7803109,1376.0656963000001,446.3376578,378.5630378,262.4592455,30.957288420833336,0.2181636,0.92539165,0.83024385,63.458481012658225,1.4021699,5326.5,1295.5607208000001,1199.0686668,65.13707119999998,-0.2843606000000136,-0.2843606000000136,0.4044057416666682,7.263999999999882e-4,0.5142534999999999,-0.3676165,15.333417721518991,0.4463725999999999,0.0845771144278607
1601130070,UNION PROGRESO,3004.7093196,1711.9085867,1974.6008715,777.9957413,485.8812172,419.2018471,377.3746063,377.763504,262.1727444,262.5616421,30.941474475,31.27390025,0.2184848,0.2178044,2.7881847,1.5185936,0.852955,0.8757627,90.30311471258548,116.7337300582426,2.5993518,1.5723015,-3.8568092579999416,-73.33871701599998,0,0,216,0.004629629629629629,0,0.004629629629629629,0,0,2358.30895315,1376.2983064,452.54153214999997,377.56905515,262.36719325,31.107687362500002,0.21814460000000002,2.1533891499999998,0.86435885,103.51842238541404,2.08582665,0,1292.8007329000002,1196.6051302,66.67937009999997,-0.38889770000002954,-0.3888976999999727,-0.3324257750000008,6.803999999999977e-4,1.2695911,-0.022807699999999986,26.430615345657117,1.0270503,0
1601130005,NINA RUMI,3006.0720939,1708.4925676,1975.999455,775.4281043,480.6200872,415.7574125,378.236369,378.5011347,262.2708106,262.5355763,31.623332016666662,30.869878316666668,0.2185641,0.2178143,0.8219515,0.6272721,0.8386991,0.7689865,34.60997847283779,45.77827022920096,1.3249509,0.8608395,-3.8447595399999273,-73.38588096899997,29,88,672,0.10119047619047619,0,0.10119047619047619,0,0,2357.28233075,1375.7137796499999,448.18874985,378.36875185,262.40319345,31.246605166666665,0.2181892,0.7246117999999999,0.8038428,40.194124351019376,1.0928952,39312,1297.5795262999998,1200.5713507,64.86267470000001,-0.2647656999999981,-0.2647656999999981,0.7534536999999943,7.498000000000227e-4,0.19467939999999995,0.06971260000000001,11.168291756363175,0.46411139999999995,0.08779761904761904
1601130024,VARILLAL,3002.8927156,1707.225223,1973.3673935,773.0794351,490.1191427,423.9776858,376.9163479,377.3191675,262.0516601,262.4544797,31.751943591666667,31.784402016666668,0.218355,0.2176561,1.898861,1.1489897,1.3166787,0.6764592,37.850721701696635,52.714864522663966,1.5268432,0.7229853,-3.8876902749999545,-73.35141680199996,9,64,743,0.14535666218034993,0,0.14535666218034993,0.014804845222072678,0.014804845222072678,2355.0589693,1373.2234143,457.04841425,377.11775769999997,262.2530699,31.768172804166667,0.21800555,1.5239253499999998,0.99656895,45.2827931121803,1.12491425,27119.5,1295.6674926,1200.2879584,66.14145689999998,-0.4028195999999866,-0.4028195999999866,-0.03245842500000151,6.989000000000023e-4,0.7498712999999999,0.6402194999999999,14.86414282096733,0.8038579,0.0740242261103634
1601130027,NUEVA ESPERANZA,3005.3332012,1703.0425047,1979.643119,774.2021698,488.3264243,424.520539,377.3908055,377.6935252,261.7465471,262.0492668,32.03253865833334,31.330586175,0.2179684,0.2171179,0.2940602,0.2365681,0.6262015,0.1041197,3.414334557426871,7.368620995314677,0.7725369,0.3908181,-3.906267507999928,-73.41363058399997,1,0,36,0.027777777777777776,0,0.027777777777777776,0,0,2354.18785295,1376.9226444,456.42348165,377.54216535,261.89790695,31.68156241666667,0.21754315000000002,0.26531415,0.3651606,5.391477776370774,0.5816775,18,1302.2906965,1205.4409492,63.8058853,-0.30271970000001147,-0.30271970000001147,0.7019524833333364,8.50500000000004e-4,0.05749209999999999,0.5220817999999999,3.9542864378878058,0.38171879999999997,-0.027777777777777776
1601130025,MORALILLO,2994.0660985,1701.1881379,1966.5732336,767.3837578,495.1489248,429.0367159,376.5606729,377.1028293,262.291864,262.8340204,32.708934375,33.03528073333333,0.2182433,0.2175433,1.1486127,0.7811473,0.9796631,0.4089672,14.369119878603945,23.750885179564996,0.9842637,0.4837534,-3.915436227999976,-73.34036586599996,2,2,201,0.03980099502487562,0,0.03980099502487562,0,0.004975124378109453,2347.6271182,1366.9784957000002,462.09282035,376.8317511,262.56294219999995,32.87210755416666,0.2178933,0.96488,0.69431515,19.06000252908447,0.73400855,402,1292.8779606,1199.1894758,66.11220889999998,-0.5421564000000103,-0.5421564000000103,-0.3263463583333319,7.000000000000062e-4,0.36746539999999994,0.5706959,9.381765300961051,0.5005103,0
1601130063,BUENA ESPERANZA,2991.5530006,1702.4016056,1964.5741117,769.9827048,494.0549482,427.3423658,376.6481738,377.1477576,262.5321027,263.0316864,32.930620991666665,33.147929141666665,0.2184038,0.2177498,1.3856695,0.9444239,0.7310387,0.4552009,16.64731182795699,25.32624920936117,1.2451037,0.5479068,-3.8989590399999656,-73.32251329799993,0,0,17,0.058823529411764705,0,0.058823529411764705,0,0.058823529411764705,2346.9773031,1367.27840825,460.698657,376.8979657,262.78189455,33.03927506666666,0.21807680000000002,1.1650467,0.5931198,20.98678051865908,0.89650525,0,1289.1513949999999,1194.5914069,66.71258240000003,-0.49958379999998215,-0.4995837000000165,-0.21730815000000092,6.540000000000157e-4,0.4412456000000001,0.2758378,8.678937381404179,0.6971969,0
1601130064,SANTA BARBARA,2985.5041322,1694.6661058,1958.7553323,761.7135151,499.9274954,434.1001485,376.6348741,377.3634137,262.779997,263.5085366,32.769844166666665,33.324430075,0.2182245,0.2175428,0.5727703,0.5001357,0.6224651,0.3043442,2.8623307604707073,7.567379476148298,0.7382299,0.3441574,-3.944115303999979,-73.32907199499994,0,0,40,0,0,0,0.025,0.375,2340.0851190000003,1360.2344237,467.01382194999996,376.99914390000004,263.14426679999997,33.047137120833334,0.21788364999999998,0.536453,0.46340465,5.214855118309503,0.54119365,0,1290.8380264000002,1197.0418172,65.82734690000001,-0.7285396000000333,-0.7285396000000333,-0.5545859083333369,6.816999999999795e-4,0.0726346,0.3181209,4.7050487156775915,0.3940725,0
1601130065,SAN CARLOS,2984.9153701,1692.8776137,1958.3824695,759.8125062,500.9460708,435.6082252,376.7245169,377.5052423,262.6905411,263.4712665,32.74498173333333,33.037977641666664,0.2181532,0.2174355,0.5562915,0.4652877,0.7087396,0.5550438,4.777848101265823,9.97632911392405,0.7467126,0.340623,-3.959130398999946,-73.34505209399998,3,4,86,0.011627906976744186,0,0.011627906976744186,0.011627906976744186,0.03488372093023256,2338.8964919,1359.09748785,468.277148,377.1148796,263.0809038,32.891479687499995,0.21779435,0.5107896000000001,0.6318917,7.377088607594937,0.5436677999999999,301,1292.0377564,1198.5699633,65.33784559999998,-0.7807253999999944,-0.7807253999999944,-0.29299590833333156,7.176999999999878e-4,0.09100380000000002,0.15369580000000005,5.1984810126582275,0.40608959999999994,0.011627906976744186
